transcript,conversion
"Hello, are you interested in our new product?",0
"I've reviewed your request, and I can offer a discount.",1
"This is a follow-up call regarding our previous conversation.",0
"Based on your usage, I'd like to recommend an upgrade.",1
"Just checking in to see if you have any questions.",0
"I'm calling to confirm your recent purchase.",1
"We have a special promotion that you might be interested in.",1
"Is now a good time to discuss your account?",0
"Thank you for your loyalty, we'd like to offer you a gift.",1
"We're sorry to see you go, is there anything we can do?",0 
